   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -7.21193534E-03  2.39416359E-02 -5.47485049E-02  1.11827146E-01  4.70813965E-02
      50 -1.76563896E-02  2.08735935E-02 -4.34097210E-02  7.66348513E-02  3.00003999E-02
     100 -7.51264130E-02 -8.19875172E-02  1.64484692E-02  1.54344551E-01  6.29470222E-02
     150  4.01494518E-02 -7.50153577E-03 -1.71870516E-02  7.28866621E-02  3.13731599E-02
     200 -4.56650614E-03  3.35477392E-02  6.08605583E-02  1.20538134E-01  5.96234766E-02
     250  6.62841786E-03  8.60232035E-02 -7.35754681E-02  1.31764917E-01  6.04551797E-02
     300  6.83404570E-02 -2.07947124E-02 -3.99005000E-02  9.81879851E-02  5.06633886E-02
     350 -2.60888193E-02 -1.89558733E-03 -3.85838609E-02  1.01759761E-01  2.51862476E-02
     400 -1.55683661E-02  5.62167025E-02 -2.44745446E-02  1.12098111E-01  5.04993784E-02
     450  9.43857754E-03 -1.43873940E-03  3.90461119E-02  7.20229611E-02  2.24302250E-02
     500 -1.79338645E-02 -5.59017510E-02  4.54364509E-02  1.15075345E-01  3.12602079E-02
     550  1.62880189E-02 -1.18101443E-01  6.17102817E-02  1.50195682E-01  7.42746559E-02
     600  1.38648666E-02  2.50811905E-02  5.48469403E-02  1.03246022E-01  4.54892642E-02
     650 -4.18929614E-02 -6.68272035E-02 -5.48904506E-02  1.39826476E-01  4.84313091E-02
     700  1.04839952E-02 -2.67248673E-02  1.13210513E-02  7.36889477E-02  2.61515327E-02
     750 -8.92667153E-02  5.51617250E-02  4.26853225E-02  1.41530434E-01  6.17263792E-02
     800 -2.97700665E-02  8.26369946E-02 -6.66196938E-02  1.36762812E-01  4.24940173E-02
     850  2.70916248E-02 -4.11156307E-02  4.72387722E-03  1.06177460E-01  3.36766719E-02
     900  6.25850681E-02  2.05005528E-03 -1.22129538E-02  1.11712449E-01  4.96512555E-02
     950  8.25401511E-03  1.42072070E-02  2.46988593E-02  5.20763979E-02  1.37484620E-02
    1000 -2.90409006E-02  1.45262118E-02 -4.96228413E-02  8.01536156E-02  5.56383131E-02
    1050  5.94013175E-02  1.01647207E-01 -4.06311703E-02  1.43267931E-01  3.83835432E-02
    1100 -1.36984090E-01  1.65998613E-02 -2.54762260E-03  1.54687840E-01  1.99944324E-02
    1150 -2.80470958E-02  1.32983523E-02 -9.15460927E-02  1.26383015E-01  3.31047110E-02
    1200  4.56417343E-02  2.64302080E-02 -3.83441772E-03  1.19603442E-01  2.41901248E-02
    1250 -5.64152936E-02  3.46343794E-02  1.98716807E-02  1.00528489E-01  4.32851952E-02
    1300  7.62736595E-03 -7.67586351E-02  3.57037757E-02  1.03338081E-01  6.16729301E-02
    1350  2.22882735E-02  2.45860030E-02 -7.80222470E-02  1.23000706E-01  2.83608995E-02
    1400 -2.23108125E-02 -1.37499427E-02  5.74783994E-02  1.28491845E-01  3.91696037E-02
    1450 -7.87103935E-02  3.52644026E-02  2.21913996E-02  1.13561511E-01  3.89587232E-02
    1500 -8.81073868E-02 -4.54129985E-03  3.41477575E-03  1.33022794E-01  4.55110207E-02
    1550  5.44710738E-02 -1.24791236E-02 -2.50933739E-02  1.21544213E-01  3.15785428E-02
    1600 -1.00102044E-01 -7.48288164E-02  2.75901123E-02  1.49143498E-01  2.23987790E-02
    1650 -8.66129502E-02 -6.94767084E-02  7.18974635E-02  1.82928166E-01  6.42330824E-02
    1700  5.60361236E-02  2.73953160E-02  6.87681216E-02  1.41213248E-01  2.62220910E-02
    1750 -4.79176513E-02  2.38429297E-02  2.87281039E-02  9.39639883E-02  1.28272895E-02
    1800 -4.45084691E-02 -5.29266604E-02  1.72926739E-03  1.32478828E-01  4.25663433E-02
    1850 -9.20684357E-02 -4.16717448E-02  1.35233112E-02  1.26482429E-01  2.24510597E-02
    1900 -7.85409391E-03  1.53501840E-01 -6.60885031E-03  1.66329133E-01  2.13324038E-02
    1950 -2.01489812E-03 -7.15793907E-02 -7.78071233E-02  1.45008842E-01  3.46160053E-02
