   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -4.87119388E-03  2.69137356E-02 -1.34520717E-02  8.63118771E-02  3.17885821E-02
      50  2.35787590E-02 -1.48336509E-02  3.81973552E-02  1.09258551E-01  3.76156742E-02
     100  9.04672849E-02 -3.40999402E-02 -1.05724295E-02  1.47779727E-01  5.68806733E-02
     150 -5.85300643E-02  6.33574717E-03  5.82762707E-02  1.23122765E-01  2.92886724E-02
     200 -7.80116651E-02 -4.44621565E-02 -1.32266127E-01  1.71451489E-01  6.11985904E-02
     250  4.64429486E-02  7.74334240E-02 -2.04862376E-02  1.11795927E-01  2.23573671E-02
     300  1.48242611E-02  5.35146285E-02  4.54669156E-02  9.55040439E-02  1.94537064E-02
     350 -3.25049425E-02 -2.53260406E-02  4.15512261E-02  8.26444494E-02  2.08814444E-02
     400  3.18088302E-02  1.72938132E-01  9.45331481E-03  2.05165883E-01  3.05513445E-02
     450 -3.90579589E-02  1.19073813E-02 -1.57177995E-03  9.25986204E-02  2.09596328E-02
     500 -4.96759199E-02 -6.06351115E-02 -1.90665475E-02  1.20739102E-01  4.39913462E-02
     550 -2.95347173E-03  1.35205774E-02  6.52259082E-02  1.12710783E-01  2.95794129E-02
     600  9.76017967E-02  2.22225778E-02 -4.58573606E-03  1.35213244E-01  3.64322633E-02
     650  2.95990989E-02 -9.88250878E-02  3.02840845E-02  1.33556855E-01  4.62279591E-02
     700 -9.40079984E-02  4.12181942E-02 -2.50576230E-02  1.34979482E-01  4.17008270E-02
     750  8.65573982E-03  1.23215482E-02  2.34361214E-02  1.00410527E-01  4.28371019E-02
     800 -5.09589048E-02  3.16004716E-02  2.34632544E-02  1.03006383E-01  3.80210828E-02
     850  1.06851635E-02 -3.26173748E-02  2.87152601E-02  9.18595904E-02  3.86916306E-02
     900  4.79831150E-02 -1.25121124E-02 -4.80962271E-02  1.56822841E-01  2.91748011E-02
     950  2.78961070E-02  1.45117825E-02 -3.91785367E-02  1.19573695E-01  3.10023827E-02
    1000  3.45288293E-02  2.93351292E-02  2.12886061E-02  1.43147590E-01  7.37141559E-02
    1050 -1.11769579E-02  9.48821710E-02 -2.17211103E-02  1.22461884E-01  4.31048060E-02
    1100  2.00178760E-02  1.15488030E-02 -2.13013629E-02  9.93803376E-02  2.41542449E-02
    1150  2.19252170E-05 -3.76176275E-02 -9.27081212E-02  1.40040258E-01  2.62117651E-02
