   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -1.79194251E-02 -1.09157491E-02  2.85682123E-04  6.11921685E-02  2.51201021E-02
      50  9.94323638E-03  1.35432117E-01 -3.99159956E-02  1.52568425E-01  1.92255438E-02
     100 -7.94275015E-02 -4.50005953E-02  5.70301395E-03  1.04390545E-01  4.32579076E-02
     150 -6.54363895E-02 -1.74290458E-02 -2.87910369E-02  1.32575886E-01  2.83864352E-02
     200 -5.06838855E-02 -2.37396962E-02  1.09882178E-01  1.54406889E-01  3.82834368E-02
     250  3.02000959E-03  1.65959409E-02  6.44274564E-02  8.20097463E-02  2.96380463E-02
     300 -1.98615972E-02 -8.13170026E-03 -9.21407503E-02  1.02254137E-01  3.48449587E-02
     350 -1.71835190E-02 -9.33047367E-02 -1.41517407E-02  1.11613704E-01  5.49517875E-02
     400  6.91240516E-02 -1.05816218E-01  2.14389714E-02  1.41230084E-01  2.23495899E-02
     450  3.08372132E-02  8.57238622E-02 -6.31565475E-02  1.42765392E-01  3.30687349E-02
     500 -1.05506457E-01  5.80324288E-02  4.37914722E-02  1.40003696E-01  4.21669402E-02
     550 -4.89585900E-02  5.60172990E-02  6.34186159E-02  1.08998485E-01  3.48341594E-02
     600 -1.45211019E-02 -8.07130136E-02 -1.07198181E-02  9.73174660E-02  2.53029159E-02
     650  1.65080284E-03 -4.67459135E-02  9.97399572E-03  9.68314413E-02  1.76670853E-02
     700  1.17528316E-02  3.43682544E-02 -1.06793225E-02  5.73177510E-02  2.29466067E-02
     750  4.77476755E-02 -2.71637926E-02  5.76456915E-02  1.04319674E-01  3.25994880E-02
     800 -1.39451679E-01 -2.33826924E-02 -2.03816963E-02  1.74408352E-01  3.51252296E-02
     850  1.06324808E-03 -4.58752033E-02  2.84724028E-02  9.31486893E-02  3.55911268E-02
     900  2.20958330E-02 -1.58748814E-02 -2.10626575E-02  6.64504076E-02  1.87291685E-02
     950  5.28726560E-02  5.01778142E-02 -3.18522912E-02  1.22489203E-01  3.08291112E-02
    1000  6.15790519E-03 -5.30071508E-02  3.42483066E-02  8.86239456E-02  2.45211306E-02
    1050 -1.76468726E-02 -3.48182016E-02  6.39680934E-02  8.60240809E-02  1.88814281E-02
    1100  1.45190150E-02 -1.03164104E-02  8.14440679E-02  1.00846346E-01  3.41929779E-02
    1150  4.14992573E-02 -1.57371557E-02  6.17528518E-03  5.79292748E-02  3.23793496E-02
    1200  1.59664476E-02 -4.49813147E-02 -1.11044480E-02  7.42613179E-02  2.47269190E-02
    1250  3.05464469E-02 -6.16482752E-03 -4.32057018E-02  8.03476283E-02  2.88575927E-02
    1300 -8.40900847E-02  4.94245377E-02 -2.50208298E-02  1.12152804E-01  2.35490918E-02
    1350 -2.04313600E-02 -8.32370366E-03 -3.10178571E-02  6.22476763E-02  2.83813056E-02
    1400 -3.31275566E-02  5.30749941E-02  5.10521227E-02  8.74455359E-02  2.24891616E-02
    1450  6.07029242E-02 -2.06267979E-02  4.05681349E-02  1.21880951E-01  2.46080984E-02
    1500 -8.71240721E-03  2.61707525E-02  2.90221153E-02  1.06802528E-01  3.19484669E-02
    1550 -1.78956135E-02  1.02186103E-01  9.52418203E-03  1.22839657E-01  5.38647026E-02
    1600 -2.20412606E-02 -2.16414842E-03 -1.11844356E-02  7.76532628E-02  1.63479414E-02
    1650 -3.62612297E-03 -1.09351191E-02 -7.91323703E-02  1.20494326E-01  1.71803303E-02
    1700 -7.56933392E-03  4.42702477E-02  1.69792300E-02  8.28327496E-02  1.27729958E-02
    1750 -2.18180960E-02  8.55001826E-03 -2.11176906E-02  4.79149446E-02  1.68617824E-02
    1800  3.51982921E-02 -4.76640325E-02  4.82178741E-03  1.01238168E-01  3.37915332E-02
    1850  7.66000340E-03  8.07600897E-02 -1.15930003E-02  9.02075070E-02  3.60564955E-02
    1900  1.71850910E-03  5.69366150E-02  1.81127851E-02  7.76361051E-02  5.17261374E-02
    1950  1.86885849E-02 -3.17298491E-02  1.82931570E-02  6.92729506E-02  4.84990130E-02
