   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  4.88315756E-01  1.53986949E-01 -2.02757359E-01  6.80746761E-01  1.25940652E-01
      50  4.11329533E-01  8.94941227E-02 -5.96530530E-02  6.31389574E-01  1.51120351E-01
     100  4.53127150E-01  1.25206889E-02 -2.93612773E-03  6.47394328E-01  1.68893265E-01
     150  4.76699322E-01 -4.31960949E-02 -3.36478201E-02  6.34422124E-01  2.05264524E-01
     200  5.26605124E-01 -3.15154371E-02 -1.75204421E-01  6.67867942E-01  1.92287640E-01
     250  4.93661912E-01 -2.66503640E-02  1.70310478E-02  6.31669251E-01  2.24430982E-01
     300  5.37911499E-01  2.39640829E-02  4.14926945E-02  6.82075029E-01  2.12035414E-01
     350  6.04960973E-01  7.57973313E-02  1.83558008E-01  8.18646557E-01  9.19163770E-02
     400  5.99861737E-01  1.88255177E-01  3.07091831E-01  7.91855921E-01  1.01068862E-01
     450  5.02936270E-01  2.38103740E-01  1.59165327E-01  6.90035342E-01  7.76979495E-02
     500  4.29975117E-01  2.72297812E-01  1.35660020E-01  6.53374526E-01  4.02678542E-02
     550  4.85715532E-01  2.11557848E-01  2.19837768E-01  7.01753407E-01  7.78732108E-02
     600  6.21572778E-01  3.51983328E-01  1.18482481E-01  8.39846278E-01  5.29300068E-02
     650  5.72956523E-01  2.85315528E-01  1.35685147E-01  7.97384442E-01  1.25423981E-01
     700  6.74822737E-01  3.00958504E-01  1.13289401E-01  8.86871095E-01  4.28583252E-02
     750  6.07069039E-01  1.34712408E-01  1.77541907E-01  7.54356445E-01  4.63039255E-02
     800  7.18763615E-01  1.85275243E-01  1.79158304E-01  8.48838565E-01  1.17764698E-01
     850  5.78439613E-01  1.58276617E-01  1.11629125E-01  7.39117598E-01  1.14748104E-01
     900  4.93479646E-01  2.19626349E-01  5.29897239E-02  7.79286898E-01  9.21928810E-02
     950  3.94397387E-01  3.19508567E-01  3.25750943E-02  7.00816273E-01  1.74257705E-01
    1000  2.43837966E-01  3.02000727E-01  8.41631058E-02  6.03991740E-01  1.61358454E-01
    1050  2.53842787E-01  3.50769823E-01 -3.82628714E-02  6.64057564E-01  9.05880285E-02
    1100  1.96951746E-01  4.37193817E-01 -1.71068628E-02  6.97901568E-01  5.53558359E-02
    1150  1.07101421E-01  3.97404229E-01  1.38797069E-01  6.26895829E-01  1.66823104E-01
    1200  1.28693608E-01  4.18723256E-01 -1.58979019E-03  7.18018920E-01  1.74769195E-01
    1250  6.57923955E-02  3.36497751E-01  2.05729819E-01  5.92290680E-01  1.87248872E-01
    1300  1.73752968E-01  1.93567008E-01  3.56733532E-01  5.93797984E-01  2.82027558E-01
    1350  3.12809889E-01  2.56781198E-01  4.26563930E-01  6.93233201E-01  1.49479329E-01
    1400  3.24390405E-01  7.75770997E-02  4.93097996E-01  6.69884450E-01  2.45867047E-01
    1450  1.55820452E-01 -2.63045892E-02  6.28230133E-01  7.35417930E-01  2.24706012E-01
    1500 -2.39807744E-02 -9.67696582E-02  5.89439184E-01  7.26835446E-01  8.52759444E-02
    1550 -1.80257482E-01 -1.29345446E-01  5.14243632E-01  6.71357948E-01  1.97860604E-01
    1600 -2.40148879E-01 -2.40376733E-01  4.77259504E-01  6.98545218E-01  1.78425635E-01
    1650 -3.66774860E-01 -1.70803537E-01  4.30808650E-01  6.64908553E-01  2.29815294E-01
    1700 -3.35524434E-01 -6.36328306E-02  4.06956591E-01  6.38509158E-01  1.87052348E-01
    1750 -3.01503563E-01  7.07041373E-02  4.18826710E-01  6.45610513E-01  4.59370767E-02
    1800 -3.02459211E-01  1.08826950E-01  4.94905347E-01  7.14220711E-01  6.75950793E-02
    1850 -1.65142652E-01 -1.06619641E-02  6.57033592E-01  7.85013865E-01  4.60424636E-02
    1900 -2.14060193E-01  5.12156735E-02  6.37275649E-01  7.76853006E-01  7.10420465E-02
    1950 -2.66955595E-01  1.27383331E-01  5.61522462E-01  7.80147038E-01  8.25074132E-02
    2000 -3.87503961E-01  2.64846950E-01  5.08189327E-01  8.94729891E-01  4.10603675E-02
    2050 -2.71623282E-01  3.52313300E-01  4.25618532E-01  8.12015317E-01  7.43304234E-02
    2100 -3.13249509E-01  4.63154951E-01  1.75233082E-01  7.31891971E-01  1.69288000E-01
    2150 -4.20156613E-01  4.93753666E-01  4.05858903E-02  7.92256619E-01  1.22213581E-01
    2200 -4.54471486E-01  4.81292018E-01  1.43401173E-02  7.87801950E-01  9.72082292E-02
    2250 -5.51400864E-01  5.50513618E-01  3.47506996E-02  8.62899414E-01  5.32540383E-02
    2300 -4.07324978E-01  6.18106061E-01 -3.73694893E-02  8.22778101E-01  1.20888844E-01
    2350 -4.37244340E-01  5.50982602E-01 -1.04417834E-01  7.91947982E-01  1.00825709E-01
    2400 -3.92058142E-01  4.05113991E-01 -1.87147321E-01  6.96185162E-01  1.11919862E-01
    2450 -2.28205445E-01  4.23204071E-01 -1.07274969E-01  6.45027374E-01  9.99625727E-02
    2500 -1.74812486E-01  2.81624114E-01 -2.09696664E-02  6.06661648E-01  6.04465389E-02
    2550 -1.91111288E-01  4.72465867E-01  1.12513253E-02  7.18317248E-01  1.12641009E-01
    2600 -1.09996201E-01  6.31794286E-01 -3.09205054E-02  8.25027540E-01  9.74819238E-02
    2650 -1.44224676E-01  5.70217985E-01 -1.60172833E-02  8.42742816E-01  7.26557985E-02
    2700 -6.05085851E-02  3.66260620E-01  4.08156801E-02  6.52801727E-01  8.19694237E-02
    2750 -4.39000912E-02  4.90558293E-01  3.05362049E-02  7.21966164E-01  5.21223316E-02
    2800 -1.76232095E-01  4.20772483E-01  9.92281842E-02  7.80247161E-01  6.45535557E-02
    2850 -1.11226642E-01  4.02000050E-01  2.50441645E-01  7.82118012E-01  1.34600878E-01
    2900 -1.29711442E-02  3.87298098E-01  2.33212904E-01  7.28367678E-01  1.04091431E-01
    2950 -1.82657696E-04  3.07805485E-01  1.91206734E-01  6.42122236E-01  7.43492033E-02
    3000  7.38379293E-02  3.30770280E-01  2.51521581E-01  7.43631005E-01  1.20953786E-01
    3050  9.93942703E-02  2.82016314E-01  2.20908920E-01  6.93604235E-01  1.90109787E-01
