   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  2.19649891E-01  1.94364103E-02  5.56252636E-01  1.04709984E+00  3.26550211E-02
      50  2.73034501E-01  1.32593663E-02  5.14897922E-01  1.03722627E+00  1.12688571E-01
     100  2.29041986E-01  2.73757091E-02  5.39515458E-01  1.10957704E+00  7.09074788E-02
     150  2.41461250E-01  6.95772723E-02  5.51035186E-01  1.04693944E+00  2.10327170E-02
     200  3.29566575E-01  1.02032429E-01  5.86917316E-01  1.09780428E+00  1.83447351E-02
     250  3.02521581E-01 -2.04699928E-02  5.46806519E-01  1.06516024E+00  2.85307645E-02
     300  2.36592480E-01 -9.49453448E-02  6.06481660E-01  1.08701424E+00  7.00671775E-02
     350  2.29430539E-01 -2.82443580E-02  5.40513256E-01  1.06243860E+00  4.74295109E-02
     400  1.91647876E-01  3.06448409E-02  5.13409682E-01  1.00090872E+00  6.88443479E-02
     450  2.11766461E-01  2.44676906E-02  5.33715534E-01  1.02808348E+00  6.04378092E-02
     500  2.85112326E-01  9.01095212E-02  5.25462080E-01  1.07634383E+00  6.15841672E-02
     550  2.47166491E-01  1.44087082E-01  5.26132945E-01  1.06338101E+00  3.80536303E-02
     600  2.04028398E-01  1.50257467E-01  5.21901583E-01  1.04508327E+00  7.70022947E-02
     650  2.29488025E-01  1.49811924E-01  6.11641241E-01  1.04691719E+00  5.09615879E-02
     700  1.92840846E-01  5.48887658E-02  6.54739077E-01  1.02166515E+00  6.90121277E-02
     750  2.33710640E-01  1.19571698E-01  7.64309118E-01  1.08702682E+00  5.16320550E-02
     800  1.32785467E-01  1.07243552E-01  7.38358057E-01  1.07051587E+00  4.95072720E-02
     850  2.11495775E-01  1.12136268E-01  7.88710440E-01  1.07112437E+00  1.22194008E-01
     900  1.54182134E-01  9.49514935E-02  6.60099045E-01  1.00366489E+00  8.64423309E-02
     950  1.34807140E-01  1.95654369E-01  6.76911413E-01  1.03022056E+00  1.73780348E-02
    1000  6.22517253E-02  3.48912041E-01  6.31375863E-01  1.00083977E+00  8.69335137E-02
    1050  7.69191783E-02  2.17817896E-01  5.63610804E-01  1.01280817E+00  8.27057275E-02
    1100  1.31595231E-01  2.16142975E-01  5.62604913E-01  9.76036698E-01  8.47694674E-02
    1150  1.05668112E-01  1.75825910E-01  5.68384491E-01  1.03845967E+00  9.27185274E-02
    1200  9.05563711E-02  2.40670322E-01  4.77006666E-01  1.00126095E+00  1.27148501E-01
    1250  7.49688451E-02  1.53514002E-01  4.66814894E-01  1.00977229E+00  6.94022819E-02
    1300  9.83798094E-02  1.30889044E-01  4.22142671E-01  1.04184716E+00  5.71341091E-02
    1350  2.08976394E-01  1.06337271E-01  3.48423612E-01  1.06761713E+00  3.12731708E-02
    1400  2.46425717E-01  1.12098504E-01  3.34942473E-01  1.08848719E+00  8.66097058E-02
    1450  3.10900596E-01  7.46026043E-02  2.77216127E-01  1.03810997E+00  7.40327366E-02
    1500  3.75915111E-01  5.79720062E-02  2.71895753E-01  1.12015542E+00  5.11184440E-02
    1550  3.69802107E-01  8.89832316E-02  3.19741190E-01  1.13139356E+00  4.88882112E-02
    1600  2.05805995E-01  1.46713718E-01  3.29264948E-01  1.06448717E+00  8.25443538E-02
    1650  2.26217467E-01  1.60836898E-01  3.36124599E-01  1.04777727E+00  3.02943173E-02
    1700  1.36597305E-01  8.47939449E-02  3.70722601E-01  1.08036579E+00  7.59214066E-02
    1750 -2.72787750E-02  1.44265539E-01  4.36645423E-01  1.05167183E+00  8.72142548E-02
    1800  1.10501150E-01 -5.13130553E-02  4.51576316E-01  1.05359016E+00  7.57385795E-02
    1850  4.79190327E-02  3.33375899E-02  4.44261811E-01  1.05901460E+00  3.77346951E-02
    1900  8.88997276E-02  1.07301284E-01  4.23107861E-01  1.06518134E+00  4.68172886E-02
    1950  1.74170785E-01  6.48700989E-02  5.09171080E-01  1.04468437E+00  7.43202666E-02
