   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -4.65509099E-02  4.18555520E-02 -1.13612098E-02  1.95818394E-01  7.27313359E-02
      50  2.25342376E-01 -1.27935219E-01  2.22822203E-02  3.54508692E-01  8.63581184E-02
     100  1.51156152E-01 -6.24479484E-02  1.66107402E-01  2.70762832E-01  8.41382247E-02
     150  2.41944914E-02  8.75641848E-02 -6.11186682E-02  1.76610741E-01  7.80762485E-02
     200  3.46157510E-02 -1.79096510E-01  6.93316860E-03  2.44996705E-01  4.90422916E-02
     250  8.90226877E-02 -1.47191716E-01 -1.01136973E-01  2.16532853E-01  1.21870921E-01
     300  5.81316495E-02 -1.57921376E-02 -1.26754229E-02  1.43423894E-01  4.21549182E-02
     350 -7.21428959E-02  1.44615866E-02  9.51725386E-02  2.06714599E-01  6.26637761E-02
     400 -2.68146564E-02 -3.89673988E-02  4.83028952E-02  2.30990885E-01  6.71380536E-02
     450  9.96452999E-02  4.93220167E-03 -4.98962808E-02  1.55452983E-01  7.61014891E-02
     500 -3.32308402E-02  1.52531567E-01 -1.21931987E-02  2.04771293E-01  2.48697190E-02
     550 -4.64104801E-02 -5.53684157E-03 -4.61133341E-02  1.72623793E-01  5.59885541E-02
     600  6.69076252E-02 -5.34036353E-02 -1.61621832E-01  2.12824371E-01  7.07782335E-02
     650 -9.94880930E-03 -4.21235501E-02 -9.36710747E-03  1.79671247E-01  6.99122918E-02
     700  1.12591770E-02  7.42007533E-02  6.18808124E-02  1.93239445E-01  5.61567686E-02
     750 -4.17065472E-03  4.95266240E-02  1.20197141E-01  2.29002789E-01  6.94823283E-02
     800 -6.46106102E-02  3.32117127E-02  4.91132313E-02  1.53496739E-01  4.37506543E-02
     850 -1.02699723E-01 -2.16583815E-02  2.14035246E-02  2.15348800E-01  5.32465926E-02
     900 -1.07727253E-02  1.07558392E-04 -6.79296534E-02  2.01237017E-01  6.82933457E-02
     950 -7.33391006E-02  3.89935877E-02 -4.41827049E-02  1.87149406E-01  1.04441585E-01
    1000 -1.80707994E-01 -6.36815889E-02 -2.06661634E-02  2.25561550E-01  1.27088926E-01
    1050 -1.53054722E-01  6.73433216E-02  5.62572507E-03  2.19079615E-01  6.83879140E-02
    1100 -1.17672118E-01  1.31545349E-01  6.23572335E-03  2.73204534E-01  1.08963188E-01
    1150  2.85506414E-02  6.70966486E-02 -5.65328371E-02  2.02815902E-01  1.06917170E-01
    1200 -6.18295008E-02  6.75291441E-02  4.29274282E-02  2.39855604E-01  6.54689070E-02
    1250 -7.73644671E-02  8.99007094E-02 -2.32738966E-02  1.75519931E-01  9.40078720E-02
    1300 -1.63259628E-01  1.44170727E-01 -1.40597727E-01  2.79375228E-01  6.96592473E-02
    1350 -9.81945932E-02  7.98110163E-02 -1.00148431E-02  1.95727154E-01  4.94159401E-02
    1400  6.50278685E-02  3.33708821E-02 -3.20119459E-03  1.90918641E-01  5.25390856E-02
    1450  6.87018188E-02 -1.30038505E-02  1.72927657E-01  2.32557810E-01  7.36967485E-02
    1500  1.22183711E-01 -1.07812453E-01  8.62206404E-02  2.44376289E-01  6.71811408E-02
    1550  7.70707504E-02 -5.26346349E-02 -9.13756478E-03  2.00355920E-01  6.10376088E-02
    1600 -4.47775969E-02 -4.72551398E-02 -1.19217120E-01  2.48817841E-01  4.47749903E-02
    1650  1.82770784E-02 -1.06359342E-01 -3.58413129E-02  2.16062095E-01  7.70126784E-02
    1700  2.65506884E-02  3.46355455E-02  7.82691264E-03  2.03587705E-01  5.81363351E-02
    1750  1.44739033E-01 -7.53846805E-02  5.12047811E-02  2.06172084E-01  1.20425338E-01
    1800  1.31108882E-02 -6.44595769E-03  2.76494524E-02  1.22112579E-01  5.16335348E-02
    1850  4.21882688E-02 -2.85461040E-02 -1.76984685E-02  1.75496969E-01  5.26948442E-02
    1900  2.67316613E-02  1.00983658E-01 -2.17257313E-02  1.85688776E-01  5.67567023E-02
    1950 -1.84934506E-03  3.00104135E-02 -3.33861188E-02  1.52677392E-01  2.45060293E-02
