   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.34662474E-01  5.81726980E-01 -5.26093562E-01  1.38118066E+00  2.94374764E-02
      50  1.38012744E-01  5.79796546E-01 -4.58049993E-01  1.36689279E+00  3.99091652E-02
     100  1.11508124E-01  5.96570423E-01 -4.52842860E-01  1.37659752E+00  1.59039345E-02
     150  2.26770185E-01  6.15936180E-01 -3.94612840E-01  1.37318907E+00  6.60754157E-02
     200  6.36164493E-02  5.30574533E-01 -4.53808454E-01  1.34672288E+00  4.78235934E-02
     250  1.35305738E-01  5.81773525E-01 -3.65353073E-01  1.38721923E+00  2.45028227E-02
     300  6.55939611E-02  5.79532448E-01 -3.12704442E-01  1.36090313E+00  6.09596935E-02
     350  8.46059753E-02  6.01559558E-01 -3.92350569E-01  1.38072943E+00  3.92603983E-02
     400  1.33982932E-01  6.65067546E-01 -4.57825858E-01  1.41357878E+00  1.59199376E-02
     450  1.14801256E-01  6.05985030E-01 -3.71402531E-01  1.34380798E+00  5.86327767E-02
     500  6.14315539E-02  5.66106147E-01 -3.24980728E-01  1.35497309E+00  2.36598326E-02
     550  2.61106643E-02  5.39866160E-01 -2.58944301E-01  1.36847755E+00  2.92765435E-02
     600 -5.09112169E-02  5.22140342E-01 -2.06655865E-01  1.36097179E+00  2.25848685E-02
     650 -1.18230257E-01  4.44990022E-01 -1.16977508E-01  1.34006040E+00  5.29057405E-02
     700 -1.56981145E-01  4.40036894E-01 -1.04526874E-01  1.36402394E+00  2.68164481E-02
     750 -1.95578731E-01  3.70486861E-01 -8.03399808E-03  1.35629526E+00  4.24243204E-02
     800 -1.93666773E-01  4.48512219E-01 -2.82757559E-03  1.40696899E+00  2.54403273E-02
     850 -1.51253402E-01  4.10085782E-01 -4.54000868E-02  1.34258724E+00  4.46406104E-02
     900 -1.75945086E-02  4.21963028E-01 -4.88094464E-02  1.36821394E+00  3.48306536E-02
     950  4.25010122E-02  3.61080238E-01  2.44942369E-02  1.35972508E+00  2.74538047E-02
    1000 -1.15185739E-02  4.54910214E-01  3.17799369E-02  1.36190626E+00  3.87941960E-02
    1050 -5.47721481E-03  5.46603752E-01  7.20532858E-03  1.36415387E+00  2.60236386E-02
    1100 -6.84939077E-02  4.84597443E-01  5.69558769E-02  1.39019063E+00  2.89810892E-02
    1150 -1.18655255E-01  4.79288518E-01  9.29561751E-02  1.36889509E+00  3.49593235E-02
    1200 -1.02615811E-01  4.71685077E-01  1.49354981E-01  1.39598537E+00  8.62399514E-03
    1250 -5.54748949E-02  4.32639564E-01  1.32549276E-01  1.38972174E+00  4.32917061E-02
    1300 -1.46836441E-02  3.62029492E-01  7.35079062E-02  1.37356610E+00  8.42426172E-02
    1350  2.58702934E-02  3.33319811E-01  1.26584014E-01  1.35792072E+00  3.15967183E-02
    1400  8.04920040E-03  3.53370479E-01  6.41733672E-02  1.39550295E+00  4.95129731E-02
    1450 -6.90213768E-02  3.17441962E-01  1.31503973E-01  1.37033199E+00  3.68294472E-02
    1500 -1.29569913E-01  3.73428075E-01  9.82794176E-02  1.32273016E+00  3.98105949E-02
    1550 -1.06041021E-01  4.33758355E-01  1.23702077E-01  1.36559785E+00  3.85057789E-02
    1600 -1.16135236E-01  3.99373293E-01  1.36627764E-01  1.37265164E+00  1.81377146E-02
    1650 -1.47059165E-01  3.03861730E-01  1.77077257E-01  1.36635164E+00  3.58467187E-02
    1700 -1.69601699E-01  2.73661306E-01  1.33719020E-01  1.36518766E+00  3.18929693E-02
    1750 -2.26961287E-01  2.80731475E-01  8.90028127E-02  1.38420278E+00  4.57003536E-02
    1800 -2.15765262E-01  2.86991346E-01  6.65599233E-02  1.36148907E+00  1.39201536E-02
    1850 -1.79131909E-01  2.81390014E-01  1.25124817E-01  1.34324277E+00  5.26222929E-02
    1900 -1.02574161E-01  3.44727660E-01  4.38605164E-02  1.38764959E+00  4.07426157E-02
    1950 -1.55492869E-01  3.98653110E-01  6.08326929E-02  1.37794503E+00  4.49705902E-02
