   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  6.95496139E-03  2.69826046E-02  5.96066045E-02  1.22835753E-01  4.00407426E-02
      50  1.73237659E-02 -8.32477506E-02  9.58586254E-02  1.67714590E-01  7.03061556E-02
     100 -8.54215800E-02  1.84169800E-01  5.28215698E-03  2.08750300E-01  4.24666993E-02
     150  6.45000704E-02  1.94788073E-02  6.93970706E-02  1.44709727E-01  7.97156018E-02
     200 -9.28726429E-03  1.33307477E-01  1.22941068E-01  2.02018131E-01  4.00159587E-02
     250  9.57471426E-02  6.92761129E-02  1.44195469E-02  1.61604938E-01  6.61729402E-02
     300 -3.45888537E-02  6.54815886E-04  4.22542202E-02  1.46702385E-01  5.63829619E-02
     350  2.93594481E-02  9.11173122E-02 -7.06508176E-03  1.39677549E-01  1.28983777E-02
     400 -4.36108365E-02  8.73187753E-02  4.77199725E-02  1.43136768E-01  5.12411140E-02
     450  4.43906635E-02  5.63355435E-02  8.61879222E-02  1.61193935E-01  4.39798267E-02
     500  2.38997697E-02 -4.03825630E-02  3.39790334E-03  1.05736135E-01  4.83729714E-02
     550 -6.46669222E-02 -1.25968444E-02  5.63666702E-02  1.21275027E-01  3.73992206E-02
     600 -9.67381155E-02  4.86333573E-02 -2.92974522E-02  1.52384085E-01  4.47817507E-02
     650  8.26064208E-02 -4.56734769E-02 -7.93416770E-02  1.41875358E-01  2.90926242E-02
     700  5.17629185E-02 -2.41527731E-02 -8.28050496E-02  1.35983626E-01  5.44958573E-02
     750 -2.46787255E-02  1.05826227E-01 -8.10999086E-02  1.87061833E-01  4.21605024E-02
     800  2.01030242E-02 -1.53316334E-02 -1.06376664E-02  1.04710828E-01  5.49830823E-02
     850 -2.20604803E-02  3.20337006E-03 -1.44547876E-02  1.40273931E-01  5.58030765E-02
     900  7.55455565E-03  1.42106052E-02  2.02466601E-03  1.34503004E-01  7.14718269E-02
     950 -6.27614791E-02  5.13472672E-02  6.22443906E-02  1.15049087E-01  4.67119087E-02
    1000  1.04867134E-02 -6.63862152E-02 -4.46775270E-02  1.31104186E-01  5.79181789E-02
    1050 -5.07878628E-02  3.77821340E-03 -1.41925204E-02  8.83844743E-02  4.97863496E-02
    1100 -5.40753118E-02 -1.07161807E-01  1.83644795E-02  1.67046480E-01  7.36810675E-02
    1150  1.70357768E-02 -1.07541336E-02  4.62911951E-02  8.10605079E-02  3.50249990E-02
    1200  1.43759178E-02 -1.64495057E-01  3.36470134E-02  1.88881480E-01  4.86235787E-02
    1250 -9.26398278E-02  1.12038378E-01 -5.19823515E-02  1.69333859E-01  2.35065958E-02
    1300 -8.92795428E-02 -7.05414649E-03 -3.04388860E-02  1.55650006E-01  3.40148841E-02
    1350 -1.94788721E-02  7.58492713E-02  3.74977477E-03  1.34333308E-01  3.23872986E-02
    1400  6.96005854E-03 -1.21808116E-01  3.19080054E-02  1.42572733E-01  6.38139901E-02
    1450  8.43005448E-03 -8.41735188E-02 -1.54567861E-02  1.12774551E-01  4.06850403E-02
    1500  3.10225604E-02 -1.65764612E-02  9.10973933E-02  1.24551871E-01  5.15746701E-02
    1550  1.65200461E-02 -6.05874359E-03  8.93373775E-02  1.57005616E-01  5.04577069E-02
    1600 -1.12728616E-02 -6.17522367E-02  8.47163360E-02  1.46132537E-01  5.24939644E-02
    1650 -3.63116453E-02 -2.29603680E-02 -2.05385039E-02  1.05664005E-01  2.97490115E-02
    1700 -1.17545660E-01 -2.78464911E-02  7.92610384E-02  1.55609769E-01  2.41918848E-02
    1750 -6.02544837E-03 -5.84509709E-03 -2.13749071E-02  1.39832578E-01  5.93283362E-02
    1800  5.29317134E-03 -3.74009298E-03  1.80408390E-02  1.04905339E-01  2.50999399E-02
    1850  3.02211327E-02 -1.65700836E-02  6.93592584E-02  1.26811439E-01  7.20058887E-02
    1900  6.85039931E-02 -7.87939141E-04  6.62480215E-02  1.43398352E-01  4.32856589E-02
    1950  2.84584606E-02  3.35971700E-02 -2.82389799E-02  1.38709884E-01  5.64208478E-02
    2000 -6.14537084E-02 -6.40825433E-02 -3.71729319E-02  1.22410327E-01  3.59585459E-02
    2050 -1.59549516E-01 -5.33246400E-02 -3.70819110E-02  2.01027422E-01  3.52998617E-02
