   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -2.00253533E-01  3.67143975E-02 -8.90739910E-02  2.55031969E-01  7.29765323E-02
      50 -7.31825767E-04 -2.71237679E-02  3.57774279E-02  1.17683033E-01  4.53010093E-02
     100 -9.23430778E-02 -1.23064604E-01  3.90005899E-02  2.00355561E-01  4.50435670E-02
     150  1.16542043E-01 -4.43427686E-02 -8.58543136E-03  1.75460190E-01  1.15507975E-01
     200  1.20257966E-01  8.33379803E-03  1.30891338E-02  1.65629758E-01  4.87574554E-02
     250 -1.05824667E-02 -3.87217765E-02 -1.08302641E-02  1.27551651E-01  4.83683628E-02
     300  6.56817289E-02 -8.15735823E-03  6.68869351E-02  1.30621114E-01  6.09510882E-02
     350 -4.77398359E-02  1.55702532E-02 -1.70227965E-02  1.27803100E-01  5.58987933E-02
     400 -2.70709973E-02  1.55657905E-02 -9.92306834E-03  1.31221269E-01  6.82206200E-02
     450  4.48650184E-02 -6.08267564E-02  5.05113754E-02  1.73696620E-01  4.70564799E-02
     500  6.42929216E-02 -6.38571052E-02 -7.36815483E-02  2.01072557E-01  7.63182614E-02
     550  1.71073694E-01  1.05278959E-02  8.87790956E-02  2.24522478E-01  8.00521210E-02
     600  7.01338158E-04 -1.21867698E-01  3.77566621E-02  1.71375146E-01  7.01712095E-02
     650 -1.68017434E-02 -4.54737964E-02  1.30880296E-03  1.17701359E-01  3.62040544E-02
     700 -1.14222233E-02  2.32024624E-02  1.87881043E-02  1.29730142E-01  4.70951386E-02
     750  4.48976408E-02  6.87739679E-02  2.90092904E-02  1.50591640E-01  7.88056261E-02
     800 -1.16521159E-01 -2.05977778E-02 -2.00253685E-02  2.06725788E-01  9.99040757E-02
     850  4.00421016E-02 -4.02277586E-02  3.83665274E-02  1.21111593E-01  5.41646245E-02
     900 -9.41269834E-02 -1.67548322E-01  8.40358715E-02  2.30251193E-01  3.92655352E-02
     950  1.12106931E-02  4.06329339E-02  1.00677756E-01  1.75294457E-01  5.90563503E-02
    1000  1.88492828E-02 -3.56044262E-02 -1.36946150E-01  1.76971265E-01  4.75270306E-02
    1050 -2.62405823E-02 -9.44775322E-03 -1.50754655E-01  1.80427330E-01  6.20917768E-02
    1100 -2.38706927E-02  1.43799068E-01 -2.50809593E-02  2.03437869E-01  8.06501526E-02
    1150 -1.21501240E-01  4.86036744E-02 -3.43621160E-02  2.02627794E-01  9.32661464E-02
    1200 -7.25200802E-02 -9.98745859E-02 -3.96221850E-02  1.74678894E-01  6.87714438E-02
    1250 -4.70011312E-02 -2.94398601E-03 -8.58933132E-02  1.60354159E-01  6.63371180E-02
    1300  6.19775630E-02 -7.26180808E-02 -8.31059851E-02  2.17719870E-01  7.59725598E-02
    1350  7.19300116E-02 -1.62014972E-02 -1.25068202E-01  1.75242022E-01  7.67889167E-02
    1400  2.22410872E-02 -1.22101316E-01  1.31452821E-01  2.01656141E-01  7.96769844E-02
    1450 -1.48492825E-01 -7.41633121E-02  1.05020317E-02  1.87505891E-01  3.66335138E-02
    1500 -1.86385064E-01  5.54351138E-02 -1.00265599E-01  2.41987266E-01  6.08674397E-02
    1550 -6.36144887E-02 -8.68066845E-03 -3.73572734E-02  1.30387479E-01  5.39949529E-02
    1600  5.88613355E-02  1.07368900E-01  2.19492664E-02  1.70902837E-01  4.06923772E-02
    1650  1.92905644E-02 -8.36755373E-02 -1.05403683E-01  1.81466262E-01  8.37469349E-02
    1700  2.50161119E-02  5.44019511E-02  3.27185040E-03  1.55967943E-01  5.71410586E-02
    1750 -1.66651092E-01  3.54816517E-04 -7.53623509E-02  2.07080792E-01  1.01026233E-01
    1800  4.53571963E-02  2.74962272E-02  6.28234571E-02  1.54533960E-01  3.52362645E-02
    1850 -1.24222116E-01  5.31723266E-02 -5.02081426E-02  2.15969798E-01  7.94630995E-02
    1900  2.89006854E-02  1.48561170E-01  1.36563916E-02  1.78550924E-01  6.18231412E-02
    1950  1.07018382E-01  6.08987456E-02 -8.19324560E-02  1.69542854E-01  8.46080990E-02
