   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -1.77998601E-01 -1.32467919E-01 -6.54586187E-02  1.91832588E+00  1.45648977E-02
      50 -2.17448457E-01 -1.04575950E-01 -9.40689728E-02  1.91728601E+00  1.46268589E-02
     100 -2.26719455E-01 -6.94794193E-02 -9.43499343E-02  1.92813621E+00  1.29202336E-02
     150 -2.37483196E-01 -6.42362566E-02 -9.77269626E-02  1.92450943E+00  1.45987582E-02
     200 -2.52422449E-01 -4.74248052E-02 -8.65808001E-02  1.92089873E+00  1.85751640E-02
     250 -2.34709320E-01 -4.27003654E-02 -1.16483188E-01  1.90661014E+00  1.17450877E-02
     300 -2.28619133E-01 -2.88665262E-02 -1.00646692E-01  1.90887289E+00  9.57443397E-03
     350 -2.11622070E-01 -1.52234388E-02 -1.00313339E-01  1.91158130E+00  9.67464051E-03
     400 -2.29619399E-01 -1.88482604E-02 -7.47165019E-02  1.91184837E+00  2.20546392E-02
     450 -2.32770922E-01 -1.80690228E-02 -7.09279968E-02  1.90920004E+00  1.62192737E-02
     500 -2.40130444E-01 -7.96784006E-04 -6.37153707E-02  1.91151425E+00  1.92568909E-02
     550 -2.34764208E-01  1.50876518E-02 -7.72589147E-02  1.92133316E+00  1.59970279E-02
     600 -2.45326815E-01  6.44593255E-03 -1.02862163E-01  1.92053206E+00  1.37168505E-02
     650 -2.80275114E-01  2.83995053E-02 -1.28136338E-01  1.92041840E+00  1.53253161E-02
     700 -2.67682646E-01  2.19020493E-02 -9.71248030E-02  1.91657785E+00  1.30382222E-02
     750 -2.89501369E-01  2.13195690E-02 -9.52430274E-02  1.91545960E+00  1.08760964E-02
     800 -2.57535064E-01  2.09136961E-02 -9.43927590E-02  1.92069877E+00  7.50699282E-03
     850 -2.75951308E-01  1.07722401E-02 -7.57275098E-02  1.92749223E+00  9.48970334E-03
     900 -2.65986192E-01  4.08184722E-03 -5.64577913E-02  1.92586818E+00  6.16351347E-03
     950 -2.81729175E-01  1.70645696E-02 -5.15986493E-02  1.92123502E+00  8.94568853E-03
    1000 -2.73336574E-01  3.01466677E-02 -7.83509646E-02  1.91530821E+00  1.67120952E-02
    1050 -2.81883383E-01 -2.79546534E-03 -4.50039376E-02  1.90649422E+00  1.89250463E-02
    1100 -3.11602783E-01 -2.32828871E-02 -5.65012390E-02  1.91304491E+00  8.81874309E-03
    1150 -3.10504680E-01 -4.60918043E-02 -2.23145608E-02  1.90689669E+00  1.70325822E-02
    1200 -3.56797706E-01 -4.73607774E-02  1.78666337E-02  1.90631127E+00  1.63699419E-02
    1250 -3.62332400E-01 -9.23989986E-02  1.79734602E-02  1.91753783E+00  1.63708010E-02
    1300 -3.50839576E-01 -1.00757807E-01  3.06254190E-02  1.90956031E+00  1.14472375E-02
    1350 -3.45244113E-01 -8.56090054E-02  1.41895907E-02  1.90662702E+00  1.42410861E-02
    1400 -3.38655142E-01 -9.43050196E-02  1.90576018E-02  1.91996924E+00  8.45184150E-03
    1450 -3.17755658E-01 -8.81749701E-02  1.59905999E-02  1.91775814E+00  7.14091860E-03
    1500 -3.13606770E-01 -9.82387209E-02  5.78879230E-03  1.92468394E+00  5.82060609E-03
    1550 -3.11051664E-01 -8.71814990E-02 -2.99370335E-02  1.91175278E+00  8.62849120E-03
    1600 -3.08640087E-01 -6.82823223E-02 -2.19203056E-02  1.91676177E+00  1.42792942E-02
    1650 -2.99606896E-01 -6.97583570E-02  1.05291614E-02  1.91121681E+00  9.09026068E-03
