   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.17263859E-01 -1.55860447E-01 -1.88145022E-02  2.25040208E-01  1.72158785E-02
      50  7.99675699E-02 -6.89851444E-03 -1.03223397E-01  1.66093682E-01  5.69872718E-02
     100  5.26436709E-02 -5.39610554E-02 -2.26504055E-01  2.62075908E-01  6.87903008E-02
     150  3.17903163E-02  5.59037207E-02 -8.58923440E-02  1.61334247E-01  5.52158807E-02
     200  5.20225540E-02  4.10130126E-02  3.98152845E-02  1.66667122E-01  5.86512426E-02
     250 -1.04437950E-02 -2.95085673E-02  6.66993240E-02  1.73158690E-01  6.17107904E-02
     300 -2.34404148E-02 -2.16658209E-02 -6.28240009E-02  1.56521108E-01  3.43809786E-02
     350 -1.28764588E-02  3.14426057E-02  1.43860501E-02  1.10965331E-01  6.59497169E-02
     400  7.32419337E-02  8.47466148E-04  8.65505404E-02  1.55161212E-01  2.95205906E-02
     450 -8.64578843E-02 -6.75125397E-02 -2.70822819E-02  1.62871067E-01  9.29045199E-02
     500  1.21608599E-02  1.07660581E-01 -9.11088597E-02  1.93743479E-01  1.17209079E-01
     550 -4.72218364E-02 -3.12412797E-02 -4.66329364E-02  1.52136491E-01  5.80335844E-02
     600 -6.69331683E-02 -7.28177867E-02  3.29951923E-02  1.86571520E-01  7.52310401E-02
     650 -2.59812501E-03  2.33575204E-02  1.44146282E-02  1.68351353E-01  6.08334248E-02
     700 -7.79228151E-03 -3.88591634E-02 -8.40911428E-03  1.00397953E-01  2.96083151E-02
     750  3.30696425E-02  7.31353343E-02  6.99694521E-02  1.22851249E-01  6.08484352E-02
     800  7.32896809E-02  6.26455130E-02  1.31068753E-01  1.86592614E-01  7.13569211E-02
     850 -1.16503916E-02  7.48190566E-02  6.21212357E-02  1.86231567E-01  7.63375419E-02
     900  1.74344408E-02 -1.08734160E-01  9.49119657E-02  1.56739076E-01  3.97588281E-02
     950  4.56575766E-02 -3.40208758E-03 -1.13985131E-02  1.46715301E-01  7.27160834E-02
    1000  6.23121245E-02  1.47863178E-02 -6.79150343E-02  1.98360815E-01  3.05032006E-02
    1050 -3.37126928E-02 -1.44213565E-02  7.43944856E-02  1.33013930E-01  5.84427310E-02
    1100  3.25248050E-03  2.43065361E-02  1.14753661E-01  1.83143904E-01  7.51721381E-02
    1150 -5.82195928E-03  5.46361789E-03  2.81140785E-02  9.63430451E-02  2.72422805E-02
    1200  2.16009829E-02  3.58369584E-02  1.13023813E-01  1.93617809E-01  8.64182686E-02
    1250  1.03323957E-01 -1.50810642E-02 -5.69983653E-02  1.67474372E-01  8.02340009E-02
    1300 -1.24090248E-01  1.40902401E-01  6.40473419E-02  2.64472600E-01  8.93956875E-02
    1350 -8.76368485E-02  1.96381967E-02  5.09762748E-02  1.37477286E-01  7.31768389E-02
    1400 -9.42369212E-02 -5.38931630E-02  1.58914220E-02  1.79133315E-01  4.83804416E-02
    1450  8.85767064E-02  1.33880326E-01 -7.12871287E-02  1.99998248E-01  5.93098110E-02
    1500 -8.56622546E-02 -1.52868583E-01  2.93004385E-02  2.01944050E-01  5.63034954E-02
    1550 -9.38057694E-02 -1.14871608E-01  4.48218379E-02  1.92679017E-01  8.12215303E-02
    1600 -3.54701074E-03 -2.96752810E-02 -3.19113728E-02  1.43578478E-01  2.47410138E-02
    1650  7.37554341E-02 -3.21442760E-02  5.82094945E-02  1.72368561E-01  7.77784344E-02
    1700  5.80017067E-02  8.16285054E-02 -3.42872253E-02  1.29593971E-01  5.72289886E-02
