   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  9.14820592E-02 -2.04830756E-02 -1.49155488E-01  2.04132735E-01  5.01311070E-02
      50 -5.20052040E-02 -9.68605333E-02 -2.51009180E-02  1.60149510E-01  6.25417187E-02
     100 -2.53364579E-02  1.67052200E-03  4.37224708E-02  1.52847854E-01  6.92091353E-02
     150 -2.95902333E-02 -6.58236477E-02 -1.43776385E-02  1.52035453E-01  6.04270573E-02
     200  5.67286534E-03  2.90337829E-02  1.00536228E-01  1.52854351E-01  3.74933615E-02
     250  6.59484727E-02 -8.42654162E-02  1.18216173E-02  1.68336465E-01  7.74146455E-02
     300  9.08129356E-02  5.78196802E-02  1.03674191E-02  1.44051188E-01  8.02676462E-02
     350  3.19400024E-02 -1.71873513E-01 -2.77155957E-02  2.08774901E-01  5.17698031E-02
     400 -1.79143996E-02 -8.66191576E-04  4.77148273E-02  1.20747189E-01  3.99002916E-02
     450 -1.90109094E-02  1.27338795E-01 -2.75097873E-02  1.66456959E-01  6.66072373E-02
     500  1.61613634E-02 -2.38022702E-02 -6.07137269E-02  1.16597118E-01  2.72256065E-02
     550  4.29481692E-03  8.77071802E-02  9.99128169E-02  1.66261798E-01  7.21430514E-02
     600 -9.30078444E-03 -4.95724112E-02 -3.84762133E-02  1.32507837E-01  3.91101283E-02
     650 -1.25395178E-02 -7.82012846E-02  7.04671266E-03  1.52780540E-01  7.39191532E-02
     700  3.07318946E-03  6.18034789E-02  2.33701934E-02  9.66576772E-02  2.42704572E-02
     750  3.11394902E-03 -2.26433406E-03 -2.08815583E-02  7.27505590E-02  8.22350594E-03
     800 -4.68950208E-03 -1.77316677E-02  3.95688025E-02  1.16015307E-01  5.13099616E-02
     850  3.02974973E-02  5.17656332E-02 -5.85473404E-02  1.75059575E-01  2.35538051E-02
     900 -9.74288292E-02 -5.50539110E-02 -3.51195613E-02  1.45238719E-01  3.22422507E-02
     950 -1.53516877E-02  1.35611339E-02 -2.44704871E-02  1.02825512E-01  3.07559542E-02
    1000 -2.48196482E-02 -3.43116756E-02  5.04201511E-03  9.98193641E-02  2.82800252E-02
    1050  7.22829928E-02 -9.24131107E-02 -3.24072587E-02  1.72535617E-01  6.19022774E-02
    1100  4.76831818E-02  1.35987139E-02 -9.27435278E-02  1.71312744E-01  4.95950507E-02
    1150  9.11907256E-03  1.08982125E-01  2.26914240E-02  1.57199079E-01  5.09126690E-02
    1200 -7.40225672E-02  5.04782201E-02  9.63830544E-03  1.25144570E-01  2.33516736E-02
    1250  2.77520709E-02  1.14317491E-02  6.92848473E-02  1.18457670E-01  1.67380413E-02
    1300 -2.58761310E-03  8.05755111E-02 -7.81072782E-02  1.68284093E-01  8.47683708E-02
    1350  1.33057149E-02 -1.07791978E-01  1.00483018E-01  1.78598296E-01  8.07824916E-02
    1400 -1.37581639E-01 -5.80423442E-02 -1.79932094E-02  1.94301220E-01  5.55258245E-02
    1450 -1.09616821E-01  9.34979358E-02  5.37386831E-02  2.29710109E-01  1.10542446E-01
    1500  8.11858856E-02  1.32841502E-02 -1.11373720E-01  2.26388294E-01  5.14544812E-02
    1550 -7.29567055E-02  8.41843590E-02 -4.03884802E-02  1.76366397E-01  2.58071901E-02
    1600  7.15582366E-02 -6.85672881E-03 -6.72162261E-02  1.41965191E-01  4.03589857E-02
    1650 -6.11519894E-02  8.69034019E-03 -1.33695203E-01  1.70077951E-01  3.46751545E-02
    1700  2.83952793E-02 -1.84700708E-02  1.07314975E-02  1.50815494E-01  2.69229882E-02
    1750 -9.08619448E-02  5.15763397E-02 -9.48728827E-02  1.53115703E-01  2.96996936E-02
    1800  1.84848247E-01  4.75603824E-02 -3.67394280E-02  2.03940729E-01  5.68042789E-02
    1850 -1.29078042E-01  2.13110194E-02 -5.06290004E-02  1.58480850E-01  7.11118736E-02
    1900 -9.82006494E-02 -2.94105057E-03 -1.38881491E-01  1.88297437E-01  4.88894398E-02
    1950 -9.17717957E-03 -4.87366127E-02 -2.50411881E-02  1.53288719E-01  2.55697883E-02
