   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  2.92900941E-01 -4.70242365E-01  2.67447914E-01  1.42059535E+00  5.42887089E-02
      50  2.68412131E-01 -4.77390121E-01  2.92455742E-01  1.40902180E+00  5.50955453E-02
     100  2.06174829E-01 -5.25378957E-01  2.72896086E-01  1.39062337E+00  4.66692483E-02
     150  2.35484381E-01 -5.18682260E-01  2.74081545E-01  1.39521420E+00  3.22232266E-02
     200  2.35732402E-01 -5.57249703E-01  3.01224356E-01  1.41435726E+00  2.73849925E-02
     250  2.70211122E-01 -5.91881159E-01  3.08936204E-01  1.47246224E+00  3.68350225E-02
     300  1.88964271E-01 -5.68231060E-01  2.88289591E-01  1.44350580E+00  2.82700809E-02
     350  2.21708898E-01 -5.78947068E-01  3.50832182E-01  1.42742674E+00  2.68176139E-02
     400  3.83163869E-01 -6.23847720E-01  3.25372184E-01  1.42191871E+00  5.65692221E-02
     450  3.62876662E-01 -5.51105326E-01  3.31604202E-01  1.44707579E+00  5.46299187E-02
     500  2.89829025E-01 -6.19359713E-01  2.76738007E-01  1.42174546E+00  3.56700021E-02
     550  1.94536982E-01 -5.98173436E-01  2.79833065E-01  1.40547165E+00  4.11758427E-02
     600  2.29803188E-01 -5.84525437E-01  3.21068835E-01  1.41097981E+00  2.21183582E-02
     650  1.72460415E-01 -5.87121327E-01  2.76566974E-01  1.37906970E+00  4.84939959E-02
     700  1.26184085E-01 -6.15524343E-01  2.74396318E-01  1.40128964E+00  3.75411708E-02
     750  1.15792465E-01 -6.34151226E-01  2.42312111E-01  1.43615391E+00  7.10849135E-02
     800  1.89035973E-01 -6.45937567E-01  1.59451748E-01  1.38967027E+00  5.47824230E-02
     850  2.45484568E-01 -6.30154224E-01  1.44294062E-01  1.45333273E+00  3.78951855E-02
     900  1.65772754E-01 -6.06717594E-01  9.70885770E-02  1.41772976E+00  4.28914638E-02
     950  2.54004285E-01 -6.39627179E-01  1.43539004E-01  1.40843228E+00  4.60082421E-02
    1000  2.28202976E-01 -6.43953808E-01  1.27069511E-01  1.44827219E+00  4.41692043E-02
    1050  2.01721246E-01 -5.95255621E-01  1.44403223E-01  1.46280606E+00  5.69356473E-02
    1100  1.60615409E-01 -5.61207380E-01  9.92175414E-02  1.39907212E+00  4.85918257E-02
    1150  1.38229475E-01 -5.75936562E-01  4.54030624E-02  1.40993495E+00  2.44618370E-02
    1200  1.32148308E-01 -5.54360664E-01  1.10096701E-01  1.43168744E+00  5.14570998E-02
    1250  1.35677885E-01 -5.46679478E-01  8.83474681E-02  1.39682318E+00  3.69212032E-02
    1300  1.92755615E-01 -5.46476996E-01  4.13203309E-02  1.43081448E+00  3.63790835E-02
    1350  1.99697701E-01 -5.30352633E-01  3.20781486E-02  1.39019515E+00  4.15647494E-02
    1400  2.90193162E-01 -5.43196429E-01 -9.16890937E-03  1.38428454E+00  3.40609268E-02
    1450  2.44774497E-01 -5.62680851E-01  6.38161436E-02  1.41846448E+00  2.86035332E-02
    1500  1.53236421E-01 -5.96202872E-01  7.50268468E-02  1.41703687E+00  3.48796213E-02
    1550  1.84077457E-01 -5.10607190E-01  7.56690845E-02  1.41915719E+00  3.66406120E-02
    1600  1.83736952E-01 -4.48828566E-01  6.35137071E-02  1.41477759E+00  2.51300800E-02
    1650  2.24403552E-01 -4.60075055E-01  2.44051619E-02  1.41893098E+00  2.49005556E-02
    1700  2.08255520E-01 -4.92374688E-01  7.25254203E-02  1.39425169E+00  2.61913646E-02
    1750  2.82141905E-01 -5.31913509E-01  2.13843168E-01  1.40749332E+00  4.05933185E-02
    1800  3.14043170E-01 -5.23752451E-01  2.08956355E-01  1.40242183E+00  5.30398748E-02
    1850  3.29404609E-01 -4.86550954E-01  1.65768020E-01  1.39156472E+00  5.65042337E-02
    1900  3.38287550E-01 -4.51476912E-01  2.15603901E-01  1.42276936E+00  4.27133058E-02
    1950  4.42603292E-01 -4.96041862E-01  2.18389060E-01  1.43800429E+00  4.89385448E-02
    2000  5.46483019E-01 -5.17853748E-01  2.29588606E-01  1.44624825E+00  3.09440487E-02
    2050  6.38274103E-01 -4.99722494E-01  2.21461791E-01  1.41629311E+00  2.78654697E-02
    2100  6.35183231E-01 -4.91119311E-01  1.20576295E-01  1.42693273E+00  3.01808768E-02
    2150  5.67209816E-01 -4.84430188E-01  1.15160156E-01  1.37921907E+00  4.00679154E-02
    2200  5.51700444E-01 -5.04724433E-01  2.36206026E-01  1.39602874E+00  4.55442666E-02
    2250  5.55573442E-01 -5.20692016E-01  2.25163593E-01  1.39128920E+00  2.30623084E-02
    2300  5.81374366E-01 -5.81688997E-01  2.19861083E-01  1.39973193E+00  4.71337081E-02
    2350  5.17106877E-01 -5.45251071E-01  1.54122899E-01  1.39922993E+00  2.26176407E-02
    2400  4.76228062E-01 -4.63259164E-01  1.31502336E-01  1.36717237E+00  4.78789053E-02
    2450  4.80187252E-01 -4.21822514E-01  2.40738651E-01  1.38738118E+00  3.01348482E-02
