   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -9.29571373E-02  3.64624900E-02 -8.09527941E-02  1.46691995E-01  4.26840480E-02
      50  1.20409964E-02  6.95461309E-02  1.91952620E-02  1.00646767E-01  2.95569172E-02
     100  1.03116023E-01 -3.39975985E-02 -3.07346588E-02  1.29125152E-01  5.25951956E-02
     150 -3.24308409E-03 -1.53086335E-02  5.41210100E-02  1.07095292E-01  4.46022425E-02
     200  9.18969193E-03  1.01619014E-01  6.46304316E-03  1.22608047E-01  6.65087681E-02
     250  6.11997749E-02  4.33328604E-03 -5.44523650E-02  1.15393005E-01  3.62180493E-02
     300 -2.90327839E-02  9.74499411E-02 -1.66408550E-02  1.25943360E-01  5.49338601E-02
     350  2.24173166E-03 -1.41638886E-02 -3.72291317E-03  6.69964000E-02  3.26426816E-02
     400  1.06094075E-01 -7.21153752E-02  3.96856769E-03  1.41255786E-01  1.72908409E-02
     450 -2.84498882E-02  7.70097088E-02  6.85330148E-02  1.20495486E-01  5.38427852E-02
     500  2.32279501E-02 -7.28177231E-02  3.81374274E-02  1.11152055E-01  3.26452625E-02
     550 -8.30639323E-02  3.88797417E-02 -1.85745112E-02  1.12895305E-01  2.96922880E-02
     600 -3.54986216E-02  2.83357448E-02 -1.50072223E-02  8.94069297E-02  5.03379466E-02
     650  2.00307701E-02  1.25218583E-02  7.44477751E-02  9.75119566E-02  3.17153991E-02
     700 -4.58170146E-02  4.13148971E-02 -1.64371710E-02  9.76042243E-02  2.16237088E-02
     750 -1.36836199E-02 -2.32962841E-02  6.41056037E-02  7.58672479E-02  1.26079295E-02
     800 -1.49048553E-02 -3.07812302E-02  2.94342799E-02  7.09592123E-02  2.02489047E-02
     850  2.17812022E-02  2.15315968E-02  3.97399302E-02  9.56969024E-02  3.99838877E-02
     900 -1.98285333E-02 -6.60882125E-02  2.43084567E-02  9.37342542E-02  3.13113845E-02
     950  4.27549705E-02  8.14634127E-02  1.62312955E-02  1.16906243E-01  3.04348488E-02
    1000  5.17408356E-02 -4.22242479E-02 -6.27107426E-02  1.06088852E-01  4.82617252E-02
    1050 -5.93008106E-02 -6.33152899E-02  1.00242043E-02  1.26862874E-01  7.26053307E-02
    1100  2.04099182E-02  5.05081632E-03  3.84050963E-02  9.50478895E-02  3.38858070E-02
    1150 -5.20009767E-02  8.03013491E-02  2.65392253E-03  1.09597877E-01  4.87591589E-02
    1200  2.57484097E-02  4.28580232E-02 -4.48741429E-02  1.04823736E-01  5.07224858E-02
    1250  2.27508102E-02 -4.25986559E-02  4.19654591E-02  1.17483206E-01  3.27432660E-02
    1300  5.60542271E-02  6.44849618E-03  2.84973704E-02  1.12173060E-01  2.28713165E-02
    1350 -1.30034876E-02 -6.83497740E-02 -2.60152294E-02  9.21746552E-02  3.45200033E-02
    1400  8.58561438E-02 -2.49177682E-02 -4.28010188E-02  1.11418331E-01  2.95022631E-02
    1450 -6.82070013E-02 -1.44744895E-02  1.91637890E-02  9.41028250E-02  4.15198618E-02
    1500 -1.22749214E-02 -1.08351013E-02  5.94503850E-02  7.85095986E-02  3.16077088E-02
    1550 -1.99686850E-02  9.48645058E-02  3.00139393E-02  1.16441181E-01  3.41006341E-02
    1600  2.06340435E-02 -1.55582854E-02  3.54163381E-02  6.40276883E-02  2.45051662E-02
    1650  4.08213221E-02 -2.64940569E-02  3.86847050E-02  9.98197797E-02  1.73575865E-02
    1700 -1.44134546E-02 -1.76201676E-02 -5.87831656E-02  8.01513036E-02  2.66679014E-02
    1750  7.30920899E-02  3.94572012E-02  2.46839963E-03  1.22622830E-01  6.54139826E-02
    1800  5.30233931E-02 -4.53659434E-03 -2.50369830E-02  8.77027176E-02  4.14846015E-02
    1850  7.03573407E-02 -1.13694777E-02 -3.50214694E-02  9.60732099E-02  4.16288417E-02
    1900  1.79298707E-03  5.86878220E-02  8.98905254E-03  7.79446627E-02  2.72923380E-02
    1950  3.55020151E-02 -2.72349646E-04  4.03661599E-02  7.48319104E-02  1.14660057E-02
