   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -2.85469614E-01 -2.70306856E-01  1.79479524E-01  1.37720439E+00  4.44761347E-02
      50 -2.33665892E-01 -2.50856608E-01  1.52344621E-01  1.33221198E+00  3.63970119E-02
     100 -2.36121026E-01 -2.52113753E-01  2.34374604E-01  1.32948354E+00  5.53765477E-02
     150 -2.49119788E-01 -2.93550978E-01  1.82477378E-01  1.35023809E+00  5.06442679E-02
     200 -2.77478143E-01 -2.95498561E-01  2.31331033E-01  1.34602518E+00  3.76849573E-02
     250 -2.82128605E-01 -3.71146726E-01  3.39830869E-01  1.36431818E+00  1.66024120E-02
     300 -2.97171431E-01 -4.57928226E-01  1.97079652E-01  1.34835620E+00  3.99043976E-02
     350 -2.60740936E-01 -5.11907231E-01  1.85134178E-01  1.32353597E+00  5.78486893E-02
     400 -3.25196907E-01 -5.10425628E-01  8.36855163E-02  1.32484345E+00  2.76986608E-02
     450 -3.28782406E-01 -4.84641169E-01  1.21602144E-01  1.28868240E+00  5.67631375E-02
     500 -2.69276516E-01 -5.61632007E-01  8.36858198E-02  1.30807576E+00  4.91849087E-02
     550 -2.84389786E-01 -6.47903632E-01  5.60773866E-02  1.31434239E+00  3.29580857E-02
     600 -2.71571196E-01 -7.09066569E-01  5.68407463E-02  1.33615846E+00  1.64038446E-02
     650 -3.02516068E-01 -7.31248087E-01  1.25543454E-01  1.33540077E+00  2.84455244E-02
     700 -3.38673237E-01 -7.23575971E-01  1.49002911E-01  1.36851854E+00  5.68048470E-02
     750 -3.83174904E-01 -7.07087981E-01  2.05042057E-01  1.36563379E+00  4.60268970E-02
     800 -3.13181079E-01 -6.20162170E-01  3.41428003E-01  1.35426839E+00  2.62927151E-02
     850 -2.72776897E-01 -5.61514378E-01  4.62937038E-01  1.35029603E+00  4.09107163E-02
     900 -2.77931154E-01 -5.65204443E-01  5.69581101E-01  1.33630075E+00  4.28229422E-02
     950 -3.41227239E-01 -5.03416618E-01  5.26067326E-01  1.36667812E+00  3.15539029E-02
    1000 -3.46525892E-01 -4.89867835E-01  4.85390477E-01  1.36077802E+00  4.05883556E-02
    1050 -2.95475969E-01 -5.02033633E-01  4.58118833E-01  1.37144964E+00  6.18483505E-02
    1100 -3.13416757E-01 -4.98052631E-01  4.03074030E-01  1.33627556E+00  2.64330386E-02
    1150 -3.05259770E-01 -4.15866290E-01  4.18776993E-01  1.32229127E+00  1.92967924E-02
    1200 -3.44635164E-01 -3.62601313E-01  3.38806005E-01  1.35831234E+00  5.67222838E-02
    1250 -3.15183099E-01 -4.89277017E-01  3.26251009E-01  1.32731237E+00  4.31525247E-02
    1300 -2.67408633E-01 -5.12373689E-01  3.30149903E-01  1.34686040E+00  2.67022312E-02
    1350 -2.75906421E-01 -5.46618131E-01  2.56508992E-01  1.35073687E+00  3.17603146E-02
    1400 -2.47247360E-01 -5.83719192E-01  1.75043699E-01  1.37124389E+00  2.70290348E-02
    1450 -2.30297011E-01 -6.17738854E-01  2.03291475E-01  1.32286566E+00  6.60891803E-02
    1500 -2.25148734E-01 -6.34721680E-01  1.58642665E-01  1.34980010E+00  2.36404709E-02
    1550 -2.01157977E-01 -6.33021329E-01  1.45426216E-01  1.33238092E+00  2.25017160E-02
    1600 -1.52768485E-01 -7.07766307E-01  2.13265318E-01  1.33280052E+00  3.05107278E-02
    1650 -1.51025146E-01 -7.31176669E-01  2.07790766E-01  1.33016183E+00  2.49715270E-02
    1700 -1.46033098E-01 -7.45949031E-01  1.08102204E-01  1.32731763E+00  5.75745939E-02
    1750 -1.11679626E-01 -7.37824192E-01  7.00996618E-02  1.33639324E+00  6.24007284E-02
    1800 -1.57170650E-01 -7.63631525E-01  1.84864594E-02  1.32431623E+00  1.86243216E-02
    1850 -1.77614786E-01 -7.25407889E-01 -9.50912397E-04  1.30697253E+00  3.35578033E-02
    1900 -2.58037824E-01 -7.64555885E-01  6.03358482E-02  1.31643658E+00  4.98911738E-02
    1950 -2.87405654E-01 -7.46118373E-01  6.17161212E-03  1.33464759E+00  2.83503180E-02
