   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.63717526E-01  3.81784480E-03 -2.78244034E-01  4.29437184E-01  1.41813132E-01
      50  8.51164677E-02  2.32673561E-01 -2.79943560E-01  5.21072983E-01  1.41147816E-01
     100 -6.27335019E-02 -2.19296359E-02 -4.48527622E-01  5.74835254E-01  9.15037058E-02
     150 -1.47042436E-01  6.20267877E-02 -3.69560203E-01  4.86484822E-01  1.13082667E-01
     200 -1.22383256E-01  1.90944769E-01 -4.35721151E-01  5.93914430E-01  1.34593655E-01
     250 -2.51503387E-03  1.68536408E-01 -3.43871112E-01  5.69817228E-01  1.33826188E-01
     300  8.89695072E-03  1.52132948E-01 -2.99653009E-01  4.75364901E-01  1.16102704E-01
     350  8.40246211E-02  2.39825871E-01 -3.46916191E-01  5.18165189E-01  3.85867670E-02
     400  1.40416692E-01  2.37414324E-01 -2.69530627E-01  4.95952742E-01  1.21606869E-01
     450  4.42358821E-02  2.15758390E-01 -1.32684072E-01  4.08267584E-01  5.02688644E-02
     500  1.64145055E-01  1.31560434E-01 -6.71065313E-02  3.99027300E-01  8.49569637E-02
     550  2.47813344E-01  1.51023418E-01 -6.84432783E-03  3.92368888E-01  1.25398159E-01
     600  2.47649591E-01  1.70933494E-01 -9.72400625E-02  4.64781381E-01  1.02650314E-01
     650  1.61334737E-01  1.35213745E-01 -4.07555227E-02  3.47608956E-01  1.33388557E-01
     700  1.11675105E-01  5.21224869E-02 -9.93782748E-02  4.60470496E-01  5.16837644E-02
     750  4.79581239E-02  7.25851795E-02 -1.95904057E-01  3.97712989E-01  1.75559500E-01
     800  3.74439928E-02 -1.98062673E-02 -1.71932187E-01  4.10546830E-01  1.46317687E-01
     850 -1.18517494E-03 -2.75141113E-01 -1.92295770E-01  4.77975144E-01  1.38481191E-01
     900 -3.21824203E-02 -1.43066547E-01 -1.92026112E-01  4.22924096E-01  1.49370395E-01
     950  4.24164593E-02 -9.33542391E-02 -1.00733904E-01  3.79033760E-01  1.26788101E-01
    1000  1.23192461E-01 -4.11730773E-02  7.95443964E-02  3.56310381E-01  1.52508405E-01
    1050  6.17308293E-02 -1.04885695E-01 -1.86714723E-01  5.01784491E-01  1.19419255E-01
    1100  7.40067379E-02 -6.22965540E-02 -2.11934542E-01  4.68576565E-01  1.18984371E-01
    1150  1.08821085E-01 -2.41004606E-01 -2.04927457E-01  4.73604453E-01  1.30537155E-01
    1200 -1.74155462E-02 -1.92140461E-01 -2.57690111E-01  3.96003284E-01  2.13770199E-01
    1250  4.71616388E-02 -1.44199358E-01 -8.57146604E-02  4.14921754E-01  1.87440194E-01
    1300 -1.07588423E-01 -3.93569719E-04 -1.28791921E-01  4.31276015E-01  1.28341265E-01
    1350 -1.15574994E-01 -1.46047415E-01 -1.81167545E-01  4.92597849E-01  1.76301327E-01
    1400 -6.69629156E-02 -1.62067115E-01 -5.68975559E-02  3.61769424E-01  1.91372095E-01
    1450 -6.31237378E-02 -2.34838976E-01  1.11373990E-01  3.88540267E-01  2.36525389E-01
    1500  8.02369533E-02 -4.92138763E-02  1.83230221E-01  3.39592031E-01  1.94840811E-01
    1550  1.53207832E-01 -1.63510880E-02  1.55566117E-01  3.91070640E-01  1.67135756E-01
    1600  2.86031608E-01 -1.66739282E-01  2.08112598E-01  4.63169514E-01  1.95375558E-01
    1650  3.39577288E-01 -1.84534784E-03  2.75879653E-01  5.01846624E-01  2.27009575E-01
    1700  3.42776314E-01  2.66532409E-02  1.92496690E-01  4.98332887E-01  1.46719271E-01
    1750  3.79869772E-01 -4.04021190E-02  1.87375610E-01  5.86934280E-01  1.29936180E-01
    1800  2.55015888E-01 -2.40823817E-01  2.46463173E-01  5.89216620E-01  1.14422738E-01
    1850  2.17115460E-01 -1.78397192E-01  1.88504139E-01  5.96973687E-01  7.10254142E-02
    1900  2.68522659E-01 -2.96014422E-01  1.63570375E-01  6.62266473E-01  1.11603214E-01
    1950  1.61779406E-01 -2.35700281E-01  8.38510953E-02  5.24033718E-01  1.14004634E-01
