   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.82131511E-01  1.64652584E-02  1.92478797E-02  2.37228774E-01  8.90219285E-02
      50  7.06139564E-02 -1.40650367E-01  1.56379735E-01  2.46390920E-01  6.85639558E-02
     100  3.42391061E-02 -1.40178220E-01  8.23814190E-02  2.87872906E-01  5.04500113E-02
     150  5.35213023E-02 -4.00034359E-02  3.07549327E-02  2.43579041E-01  6.43212385E-02
     200 -1.21404765E-01 -6.70984839E-02  5.18573566E-02  2.76879932E-01  1.55803877E-01
     250 -5.26203246E-02  8.82712100E-02  1.17531299E-01  2.39627890E-01  3.78897007E-02
     300  6.49093669E-02  2.65323227E-02  1.00128678E-01  2.66654281E-01  8.53648609E-02
     350 -6.00992932E-02  3.35004989E-02  1.64735662E-01  3.14234522E-01  7.23706923E-02
     400  8.13918256E-02 -8.06606134E-02 -6.57852084E-03  2.42712804E-01  1.02853409E-01
     450  7.23555358E-02  2.17165856E-01  8.51601057E-02  3.02627914E-01  1.26915685E-01
     500  1.73067578E-01  1.13771926E-01 -1.01127269E-01  3.10916910E-01  1.32903532E-01
     550  2.65290665E-02  1.28511359E-01  4.58350289E-02  2.67933007E-01  9.32468339E-02
     600  4.20930281E-04  2.24037202E-01  5.15044509E-02  3.43105575E-01  8.50436679E-02
     650  2.45307705E-01  1.79786214E-02 -3.86330279E-03  3.22223295E-01  7.29272489E-02
     700  7.16827664E-02  4.79032157E-03 -6.60876200E-02  1.91605602E-01  6.60888623E-02
     750  8.11512117E-03  4.90745870E-02  1.96126248E-01  2.55885537E-01  8.48525233E-02
     800  6.73537009E-02  1.89795854E-01  1.46660211E-01  3.20787033E-01  1.29584933E-01
     850  4.66807289E-02  6.16231949E-02  3.52123257E-02  1.90568453E-01  7.89668116E-02
     900  1.40233376E-01  6.72601672E-02  3.60546847E-02  2.91255835E-01  1.00688755E-01
     950 -1.75578660E-01  5.49264276E-02 -7.21668898E-02  2.68955337E-01  8.24070645E-02
    1000 -1.93066443E-01  1.31427879E-01  3.88987335E-02  3.13391413E-01  1.23790030E-01
    1050  6.87900884E-02 -1.23094414E-01  1.28924847E-01  3.13483457E-01  6.21866109E-02
    1100 -2.33813908E-03 -4.93581311E-02 -5.28300088E-03  2.26498863E-01  7.82004538E-02
    1150 -6.78456411E-02 -1.21442467E-01  3.61827781E-02  2.10057753E-01  8.11466665E-02
    1200 -9.92600681E-02 -1.18976862E-01 -2.51014512E-02  2.46097425E-01  8.15846115E-02
    1250  1.42397857E-01 -2.04745519E-01 -1.81215996E-01  3.61276562E-01  1.30965153E-01
    1300  1.75293767E-01 -2.43155711E-02 -2.10094105E-01  3.19019071E-01  9.67160808E-02
    1350  8.34789212E-02  1.74142556E-02 -3.07553497E-01  3.81447459E-01  6.69238463E-02
    1400 -2.53760741E-02 -8.72495193E-02 -3.27307064E-02  2.01237608E-01  1.09095184E-01
    1450 -1.64917148E-01  6.81323075E-03  5.35181731E-02  2.26711650E-01  7.10366480E-02
    1500  7.46386666E-02  7.09358369E-02  1.45882228E-01  3.22842133E-01  1.10980401E-01
    1550  1.61697613E-01 -1.23761354E-01  1.93205750E-01  3.33314615E-01  6.82763794E-02
    1600  1.21497678E-01 -1.82945755E-01  1.87407851E-01  3.64345104E-01  1.30045567E-01
    1650 -1.58933117E-01 -1.26794010E-01  2.20464118E-02  2.62163296E-01  1.37220336E-01
    1700 -8.48191337E-03 -1.60969751E-01 -8.52561131E-02  2.49681515E-01  1.16153092E-01
    1750 -7.88873994E-02 -7.38541269E-02 -3.40539290E-02  2.03062657E-01  9.46389585E-02
    1800 -7.79697244E-02  6.95899266E-02  7.68481421E-03  2.65885856E-01  6.45723113E-02
    1850 -1.13215942E-01  7.96392024E-03  3.70879675E-02  2.65559725E-01  8.12376250E-02
    1900  5.91991817E-02  1.19873960E-01  5.52600724E-02  2.51122379E-01  2.33005040E-02
    1950  1.13408852E-01  1.13179816E-01  1.51008226E-01  3.00251418E-01  1.03804182E-01
